final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
73,vibeADMET,0.2199 ± 0.0123,0.5814 ± 0.0361,0.5665 ± 0.0459,0.7623 ± 0.0366,0.5862 ± 0.0338,https://docs.google.com/document/d/e/2PACX-1vT8yCpYslYvCvcrZuZElChg6XVSx6HH1U4wZ0sLlHy6828LwVCBXSU4FTpwYvL8hDr7ReomL5q_PPki/pub
74,eq_az,0.2209 ± 0.0122,0.5837 ± 0.0286,0.5684 ± 0.0420,0.7524 ± 0.0346,0.5759 ± 0.0331,https://drive.google.com/drive/folders/1AE9iD5EHYA7Kri1Z1hywNPXMaQl0-4iQ
75,theZone,0.2215 ± 0.0148,0.5859 ± 0.0449,0.4908 ± 0.0730,0.7646 ± 0.0403,0.6014 ± 0.0342,https://drive.google.com/file/d/12OcLMCjM2S1Wz8yuLXZ3on_xwxGMyg3x/view?usp=drive_link
76,pykel,0.2226 ± 0.0159,0.5881 ± 0.0403,0.4553 ± 0.0905,0.7492 ± 0.0418,0.5842 ± 0.0350,https://docs.google.com/document/d/e/2PACX-1vSu7dHC9-lGeMKyqHaiiPM3Ji_Mb-eLKKtOd453WzbMSH9bT2Bbct4e1TJ6a0kfquMTwK1V-JirxJDi/pub
77,wleco22,0.2229 ± 0.0130,0.5893 ± 0.0382,0.5477 ± 0.0534,0.7165 ± 0.0393,0.5357 ± 0.0346,https://docs.google.com/document/d/1wxbX96aE9hxgvmUqbeLkxdDe4sRU1DcBXKB08eLo8G0/edit?usp=sharing
78,tomatpercept,0.2252 ± 0.0126,0.5950 ± 0.0302,0.5438 ± 0.0466,0.7032 ± 0.0416,0.5264 ± 0.0367,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/edit?usp=sharing
79,csaba-percept-bio,0.2252 ± 0.0126,0.5950 ± 0.0302,0.5438 ± 0.0466,0.7032 ± 0.0416,0.5264 ± 0.0367,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/
80,Kalen_UCL,0.2298 ± 0.0128,0.6077 ± 0.0388,0.5283 ± 0.0453,0.7759 ± 0.0307,0.5918 ± 0.0305,https://docs.google.com/document/d/1KYbdAJxJaDNGEy6DhjyhK7jZJM5J8KHEOX3MAB_b6Jc/edit?usp=sharing
81,boltzmann4,0.2302 ± 0.0118,0.6086 ± 0.0348,0.5523 ± 0.0409,0.7832 ± 0.0334,0.6069 ± 0.0320,https://docs.google.com/document/d/1-yiygaQi4SC5-4TdrAo8faxW2CNO7YvJ/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
82,briford,0.2358 ± 0.0141,0.6232 ± 0.0395,0.4784 ± 0.0553,0.7172 ± 0.0439,0.5501 ± 0.0373,https://github.com/SuperCowPowers/workbench/tree/main/open_admet
83,EGabrielle,0.2359 ± 0.0118,0.6235 ± 0.0353,0.5363 ± 0.0403,0.7601 ± 0.0345,0.5793 ± 0.0325,https://github.com/etiu/Openadmet_competition_v2
84,Harshit494,0.2379 ± 0.0134,0.6289 ± 0.0382,0.5001 ± 0.0467,0.7302 ± 0.0398,0.5562 ± 0.0364,https://github.com/research-al/admet-challenge
85,Srajall,0.2434 ± 0.0130,0.6436 ± 0.0410,0.4873 ± 0.0521,0.7589 ± 0.0347,0.5753 ± 0.0314,https://github.com/srajalcodes/ADMET-Challenge-Report-Methodology/blob/main/README.md
86,3dprint,0.2437 ± 0.0147,0.6437 ± 0.0317,0.4367 ± 0.0585,0.6940 ± 0.0410,0.5064 ± 0.0346,https://tinyurl.com/mnb2csbe
87,rymsnyde,0.2446 ± 0.0129,0.6468 ± 0.0385,0.4915 ± 0.0473,0.7630 ± 0.0365,0.5840 ± 0.0326,https://github.com/rymsnyde/LMC-MO-GPR_for_ADMET
88,Apxjmd,0.2459 ± 0.0129,0.6495 ± 0.0285,0.4842 ± 0.0537,0.7160 ± 0.0410,0.5272 ± 0.0334,https://docs.google.com/document/d/1r3o16KmaizQJb67i8G6lsYeIVsjUp3pSsK5u5GPqrBs/edit?usp=sharing
89,haleemiliyash,0.2465 ± 0.0153,0.6512 ± 0.0360,0.4082 ± 0.0711,0.6063 ± 0.0552,0.4513 ± 0.0426,https://docs.google.com/document/d/1QKNw_Ev6EVsh2faLWFhflS22xxFrdWwcPvSdwYRMBJ0/edit?usp=sharing
90,ellieberry,0.2466 ± 0.0126,0.6520 ± 0.0386,0.4921 ± 0.0454,0.7488 ± 0.0370,0.5697 ± 0.0335,https://github.com/etiu/Openadmet_competition_v2
91,mkruege,0.2467 ± 0.0135,0.6522 ± 0.0422,0.4693 ± 0.0535,0.7472 ± 0.0337,0.5564 ± 0.0311,https://doi.org/10.17617/3.GIKHJL
92,sudhir2016,0.2496 ± 0.0143,0.6595 ± 0.0345,0.4466 ± 0.0556,0.6354 ± 0.0517,0.4503 ± 0.0381,https://gist.github.com/sudhir2016/e6a488fe6a856dfc3d8b6734b612a6a5
93,XeonChem,0.2521 ± 0.0137,0.6665 ± 0.0380,0.4519 ± 0.0519,0.6943 ± 0.0444,0.5182 ± 0.0365,https://docs.google.com/document/d/1-N0GW_6HnSx4rYVoyKCGjGUWxcBXyxwWsmi38lueZck/edit?usp=sharing
94,metro_mehed,0.2551 ± 0.0130,0.6741 ± 0.0342,0.4597 ± 0.0490,0.7036 ± 0.0414,0.5151 ± 0.0349,https://docs.google.com/document/d/1xseb0nWU162fvvG8jFDoEKX_nx4qEflHMrNmDNSn2Oo/edit?usp=drive_link
95,latticetower,0.2597 ± 0.0163,0.6865 ± 0.0458,0.3441 ± 0.0833,0.6631 ± 0.0463,0.4964 ± 0.0370,https://github.com/latticetower/chemney
96,KNIMEST,0.2662 ± 0.0175,0.7043 ± 0.0567,0.2672 ± 0.1021,0.6895 ± 0.0426,0.5215 ± 0.0366,https://docs.google.com/document/d/1e0LpSpYW4VM2c9xVnSKykDDpP9lvdUSIsAJ6h1qbt4E/edit?usp=drive_link
97,SystemsCBLab,0.2810 ± 0.0128,0.7426 ± 0.0350,0.3833 ± 0.0423,0.7140 ± 0.0428,0.5364 ± 0.0361,https://github.com/apalania/OpenADMET-ExpansionRx-Challenge/blob/main/MethodologyReport_v2.pdf
98,eachanjohnson,0.3077 ± 0.0126,0.8128 ± 0.0225,0.3037 ± 0.0292,0.6241 ± 0.0453,0.4449 ± 0.0359,https://github.com/eachanjohnson/challenge-2601-openadmet
99,mtqspr_pcamor,0.3791 ± 0.0160,1.0030 ± 0.0631,-0.0476 ± 0.1090,0.7949 ± 0.0324,0.6219 ± 0.0325,https://docs.google.com/document/d/1knr4cDWE-Tn0ZmcTqSCfADTN2d6BIQqsnfaN6URv9Nk/edit?usp=sharing
100,boltzmann_xgb,0.4986 ± 0.0199,1.3191 ± 0.0802,-0.8062 ± 0.1503,0.5152 ± 0.0578,0.3676 ± 0.0436,https://docs.google.com/document/d/1RFuSB9CzAwwysvgjP2Bo0RXWbIUZsKF-/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
101,redjay,0.5141 ± 0.0216,1.3602 ± 0.0869,-0.9758 ± 0.1691,0.6724 ± 0.0314,0.4633 ± 0.0272,https://docs.google.com/document/d/1QHhGtEriIm0jGCY5NdTxCxkS6xkUMPakCwgePgGcCj8/edit?tab=t.0
102,Sean-Wong,0.7597 ± 0.0260,2.0106 ± 0.1283,-2.8924 ± 0.3368,0.6425 ± 0.0525,0.4852 ± 0.0410,https://github.com/Wang-Lin-boop/Ouroboros
103,little-WM-atw-2,0.8144 ± 0.0289,2.1554 ± 0.1407,-3.5317 ± 0.3944,-0.3492 ± 0.0625,-0.2340 ± 0.0445,https://github.com/azminewasi/OpenADMET_ExpansionRx
