final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
86,KNIMEST,0.4075 ± 0.0097,0.9654 ± 0.0265,0.0367 ± 0.0613,0.4573 ± 0.0254,0.3193 ± 0.0188,https://docs.google.com/document/d/1e0LpSpYW4VM2c9xVnSKykDDpP9lvdUSIsAJ6h1qbt4E/edit?usp=drive_link
87,mkruege,0.4092 ± 0.0096,0.9692 ± 0.0260,0.0680 ± 0.0471,0.4193 ± 0.0259,0.2897 ± 0.0188,https://doi.org/10.17617/3.GIKHJL
88,agitter,0.4113 ± 0.0092,0.9744 ± 0.0248,0.1041 ± 0.0435,0.4528 ± 0.0242,0.3103 ± 0.0176,https://github.com/agitter/openadmet-expansionrx-challenge
89,Srajall,0.4124 ± 0.0096,0.9768 ± 0.0243,0.0390 ± 0.0484,0.3745 ± 0.0286,0.2581 ± 0.0204,https://github.com/srajalcodes/ADMET-Challenge-Report-Methodology/blob/main/README.md
90,rymsnyde,0.4174 ± 0.0097,0.9888 ± 0.0248,0.0488 ± 0.0507,0.4345 ± 0.0248,0.3006 ± 0.0179,https://github.com/rymsnyde/LMC-MO-GPR_for_ADMET
91,riemann,0.4248 ± 0.0093,1.0063 ± 0.0240,0.0249 ± 0.0418,0.3987 ± 0.0261,0.2735 ± 0.0187,https://docs.google.com/document/d/1N_huCHcjGN2OpioMyZBE3Pi5LRhVJoG2t3CFkqIHy50/edit?usp=sharing
92,pykel,0.4308 ± 0.0100,1.0205 ± 0.0242,-0.0394 ± 0.0499,0.4305 ± 0.0254,0.2959 ± 0.0184,https://docs.google.com/document/d/e/2PACX-1vSu7dHC9-lGeMKyqHaiiPM3Ji_Mb-eLKKtOd453WzbMSH9bT2Bbct4e1TJ6a0kfquMTwK1V-JirxJDi/pub
93,haleemiliyash,0.4462 ± 0.0103,1.0570 ± 0.0284,-0.1018 ± 0.0596,0.4148 ± 0.0250,0.2856 ± 0.0180,https://docs.google.com/document/d/1QKNw_Ev6EVsh2faLWFhflS22xxFrdWwcPvSdwYRMBJ0/edit?usp=sharing
94,davidgiganti,0.4616 ± 0.0111,1.0851 ± 0.0274,-0.1402 ± 0.0519,0.4313 ± 0.0256,0.2968 ± 0.0186,https://github.com/davidgiganti-ship-it/OpenADMET-ExpansionRx-Challenge
95,metro_mehed,0.4644 ± 0.0102,1.1002 ± 0.0271,-0.1395 ± 0.0490,0.3771 ± 0.0259,0.2571 ± 0.0183,https://docs.google.com/document/d/1xseb0nWU162fvvG8jFDoEKX_nx4qEflHMrNmDNSn2Oo/edit?usp=drive_link
96,little-WM-atw-2,0.4739 ± 0.0108,1.1224 ± 0.0188,-0.2629 ± 0.0327,0.0732 ± 0.0291,0.0491 ± 0.0194,https://github.com/azminewasi/OpenADMET_ExpansionRx
97,sudhir2016,0.4833 ± 0.0113,1.1448 ± 0.0302,-0.3213 ± 0.0638,0.3356 ± 0.0258,0.2292 ± 0.0178,https://gist.github.com/sudhir2016/e6a488fe6a856dfc3d8b6734b612a6a5
98,AIDDLin,0.5008 ± 0.0115,1.1863 ± 0.0341,-0.3577 ± 0.0700,0.3035 ± 0.0275,0.2043 ± 0.0192,https://github.com/linshaolong11/CAMF.git
99,boltzmann_xgb,0.5817 ± 0.0143,1.3779 ± 0.0379,-0.9692 ± 0.1151,0.1857 ± 0.0290,0.1251 ± 0.0197,https://docs.google.com/document/d/1RFuSB9CzAwwysvgjP2Bo0RXWbIUZsKF-/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
100,redjay,0.7720 ± 0.0132,1.8289 ± 0.0471,-1.7319 ± 0.1314,0.2579 ± 0.0284,0.1732 ± 0.0197,https://docs.google.com/document/d/1QHhGtEriIm0jGCY5NdTxCxkS6xkUMPakCwgePgGcCj8/edit?tab=t.0
101,mtqspr_pcamor,0.7931 ± 0.0150,1.8790 ± 0.0589,-2.0156 ± 0.1874,0.5054 ± 0.0232,0.3541 ± 0.0174,https://docs.google.com/document/d/1knr4cDWE-Tn0ZmcTqSCfADTN2d6BIQqsnfaN6URv9Nk/edit?usp=sharing
102,latticetower,0.8456 ± 0.0199,2.0035 ± 0.0654,-3.1038 ± 0.2678,0.2254 ± 0.0281,0.1525 ± 0.0194,https://github.com/latticetower/chemney
103,Sean-Wong,2.1398 ± 0.0155,5.0699 ± 0.1280,-15.6572 ± 0.8849,0.4849 ± 0.0239,0.3368 ± 0.0178,https://github.com/Wang-Lin-boop/Ouroboros
