rank,user,MA-RAE,R2,Spearman R,Kendall's Tau,submission time,model details
246,Lancet2,0.76 +/- 0.03,0.33 +/- 0.05,0.63 +/- 0.03,0.46 +/- 0.02,2025-12-13 00:25:02+00:00,
247,csaba-percept-bio,0.77 +/- 0.03,0.32 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2026-01-18 18:32:07+00:00,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/
248,tomatpercept,0.77 +/- 0.03,0.32 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2026-01-18 20:16:44+00:00,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/edit?usp=sharing
249,snowball4,0.77 +/- 0.03,0.30 +/- 0.05,0.62 +/- 0.03,0.45 +/- 0.02,2025-12-05 21:10:11+00:00,
250,SimuRaiden,0.77 +/- 0.03,0.31 +/- 0.04,0.62 +/- 0.03,0.46 +/- 0.02,2025-10-30 15:04:34+00:00,
251,expansion,0.77 +/- 0.03,0.01 +/- 0.07,0.72 +/- 0.02,0.56 +/- 0.02,2026-01-18 21:48:26+00:00,
252,minzina-tabpfn,0.77 +/- 0.03,0.28 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2026-01-11 14:37:00+00:00,
253,mmahmedHF,0.77 +/- 0.03,0.33 +/- 0.04,0.66 +/- 0.03,0.49 +/- 0.02,2025-12-12 16:03:17+00:00,
254,PepTest2,0.77 +/- 0.03,0.28 +/- 0.05,0.62 +/- 0.03,0.45 +/- 0.02,2026-01-13 17:30:00+00:00,
255,aaronfeller,0.77 +/- 0.03,0.28 +/- 0.05,0.62 +/- 0.03,0.45 +/- 0.02,2026-01-13 16:37:47+00:00,
256,Srajal,0.77 +/- 0.03,0.31 +/- 0.04,0.68 +/- 0.03,0.51 +/- 0.02,2025-12-18 12:10:20+00:00,
257,lifaen,0.77 +/- 0.03,0.23 +/- 0.06,0.67 +/- 0.03,0.50 +/- 0.02,2026-01-16 19:55:58+00:00,
258,simple rf baseline,0.78 +/- 0.03,0.33 +/- 0.04,0.61 +/- 0.03,0.44 +/- 0.02,2025-10-31 14:18:48+00:00,
259,Discoverybytes,0.78 +/- 0.03,0.30 +/- 0.04,0.56 +/- 0.03,0.41 +/- 0.03,2026-01-02 01:15:14+00:00,https://docs.google.com/document/d/1fNlOGOvF_lrqWz8-MY3oNyXKUSy5_wWmZeukAEUUFf0/edit?usp=drive_link
260,srkarra,0.78 +/- 0.03,0.34 +/- 0.04,0.60 +/- 0.03,0.43 +/- 0.02,2026-01-13 02:49:17+00:00,
261,SystemsCBLab,0.78 +/- 0.03,0.31 +/- 0.04,0.60 +/- 0.03,0.44 +/- 0.02,2026-01-20 00:33:29+00:00,https://github.com/apalania/OpenADMET-ExpansionRx-Challenge/blob/main/MethodologyReport_v2.pdf
262,Caps,0.78 +/- 0.03,0.26 +/- 0.06,0.66 +/- 0.03,0.49 +/- 0.02,2026-01-19 14:01:10+00:00,
263,imikezhu,0.78 +/- 0.03,0.28 +/- 0.05,0.60 +/- 0.03,0.44 +/- 0.02,2025-11-12 00:03:04+00:00,
264,minzina-base_mse,0.78 +/- 0.03,0.23 +/- 0.05,0.64 +/- 0.03,0.47 +/- 0.02,2025-12-16 08:49:54+00:00,
265,TERRA,0.78 +/- 0.03,0.27 +/- 0.05,0.61 +/- 0.03,0.44 +/- 0.02,2025-11-09 07:59:07+00:00,
