final rank,initial rank,user,CLD,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
91,284,boltzmann4,@g,0.3696 ± 0.0032,0.8402 ± 0.0098,0.2004 ± 0.0169,0.6317 ± 0.0084,0.4617 ± 0.0071,https://docs.google.com/document/d/1-yiygaQi4SC5-4TdrAo8faxW2CNO7YvJ/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
92,296,Apxjmd,@h,0.3787 ± 0.0036,0.8591 ± 0.0091,0.1321 ± 0.0162,0.5152 ± 0.0093,0.3712 ± 0.0072,https://docs.google.com/document/d/1r3o16KmaizQJb67i8G6lsYeIVsjUp3pSsK5u5GPqrBs/edit?usp=sharing
93,303,eachanjohnson,@i,0.3894 ± 0.0034,0.8886 ± 0.0086,0.1130 ± 0.0141,0.4971 ± 0.0096,0.3528 ± 0.0074,https://github.com/eachanjohnson/challenge-2601-openadmet
94,305,metro_mehed,@i,0.3963 ± 0.0034,0.8892 ± 0.0094,0.1210 ± 0.0148,0.5396 ± 0.0094,0.3812 ± 0.0073,https://docs.google.com/document/d/1xseb0nWU162fvvG8jFDoEKX_nx4qEflHMrNmDNSn2Oo/edit?usp=drive_link
95,309,sudhir2016,@j,0.4010 ± 0.0036,0.9010 ± 0.0104,0.0614 ± 0.0203,0.5365 ± 0.0100,0.3784 ± 0.0075,https://gist.github.com/sudhir2016/e6a488fe6a856dfc3d8b6734b612a6a5
96,317,mtqspr_pcamor,@k,0.4450 ± 0.0038,1.0122 ± 0.0139,-0.1798 ± 0.0310,0.6780 ± 0.0075,0.5037 ± 0.0067,https://docs.google.com/document/d/1knr4cDWE-Tn0ZmcTqSCfADTN2d6BIQqsnfaN6URv9Nk/edit?usp=sharing
97,321,haleemiliyash,@l,0.4779 ± 0.0038,1.0347 ± 0.0119,-0.2537 ± 0.0258,0.4845 ± 0.0106,0.3425 ± 0.0080,https://docs.google.com/document/d/1QKNw_Ev6EVsh2faLWFhflS22xxFrdWwcPvSdwYRMBJ0/edit?usp=sharing
98,331,latticetower,@m,0.4529 ± 0.0044,1.0542 ± 0.0134,-0.4338 ± 0.0396,0.4646 ± 0.0103,0.3290 ± 0.0077,https://github.com/latticetower/chemney
99,341,redjay,@n,0.5510 ± 0.0045,1.2449 ± 0.0139,-0.5820 ± 0.0285,0.1543 ± 0.0106,0.1067 ± 0.0075,https://docs.google.com/document/d/1QHhGtEriIm0jGCY5NdTxCxkS6xkUMPakCwgePgGcCj8/edit?tab=t.0
100,348,boltzmann_xgb,@o,0.6857 ± 0.0043,1.4456 ± 0.0175,-1.1286 ± 0.0425,0.4925 ± 0.0106,0.3487 ± 0.0081,https://docs.google.com/document/d/1RFuSB9CzAwwysvgjP2Bo0RXWbIUZsKF-/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
101,346,Srajall,@p,0.7797 ± 0.0040,1.5618 ± 0.0184,-1.7338 ± 0.0619,0.3041 ± 0.0090,0.2245 ± 0.0071,https://github.com/srajalcodes/ADMET-Challenge-Report-Methodology/blob/main/README.md
102,361,little-WM-atw-2,@r,0.7939 ± 0.0053,1.9202 ± 0.0240,-2.7940 ± 0.0710,0.0242 ± 0.0120,0.0171 ± 0.0082,https://github.com/azminewasi/OpenADMET_ExpansionRx
103,396,Sean-Wong,@q,1.2101 ± 0.0054,2.7406 ± 0.0329,-5.5734 ± 0.1445,0.6353 ± 0.0090,0.4673 ± 0.0072,https://github.com/Wang-Lin-boop/Ouroboros
