final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
77,mtqspr_pcamor,0.2712 ± 0.0098,0.8457 ± 0.0443,0.2402 ± 0.0700,0.7644 ± 0.0227,0.5731 ± 0.0214,https://docs.google.com/document/d/1knr4cDWE-Tn0ZmcTqSCfADTN2d6BIQqsnfaN6URv9Nk/edit?usp=sharing
78,tomatpercept,0.2716 ± 0.0089,0.8466 ± 0.0320,0.2978 ± 0.0467,0.5952 ± 0.0338,0.4270 ± 0.0274,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/edit?usp=sharing
79,csaba-percept-bio,0.2716 ± 0.0089,0.8466 ± 0.0320,0.2978 ± 0.0467,0.5952 ± 0.0338,0.4270 ± 0.0274,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/
80,femisegvn,0.2725 ± 0.0104,0.8496 ± 0.0397,0.2188 ± 0.0634,0.5949 ± 0.0340,0.4241 ± 0.0272,https://github.com/femisegvn/ExpansionRx-OpenADMET-blind-challenge
81,boltzmann4,0.2748 ± 0.0101,0.8568 ± 0.0388,0.2325 ± 0.0598,0.6026 ± 0.0331,0.4322 ± 0.0270,https://docs.google.com/document/d/1-yiygaQi4SC5-4TdrAo8faxW2CNO7YvJ/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
82,massazahdeh,0.2780 ± 0.0244,0.8668 ± 0.0795,-1.2908 ± 1.6503,0.7129 ± 0.0278,0.5314 ± 0.0246,https://huggingface.co/spaces/openadmet/OpenADMET-ExpansionRx-Challenge
83,tespharma,0.2800 ± 0.0103,0.8731 ± 0.0435,0.1576 ± 0.0732,0.6214 ± 0.0323,0.4463 ± 0.0261,https://docs.google.com/document/d/1ydaJf4kJOlfVOoYlXTEU0JNrINWhEwfM0NSPXJU-FtU/edit?usp=sharing
84,metro_mehed,0.2850 ± 0.0106,0.8885 ± 0.0413,0.1629 ± 0.0651,0.5567 ± 0.0337,0.3838 ± 0.0263,https://docs.google.com/document/d/1xseb0nWU162fvvG8jFDoEKX_nx4qEflHMrNmDNSn2Oo/edit?usp=drive_link
85,AIDDLin,0.2859 ± 0.0104,0.8914 ± 0.0400,0.1676 ± 0.0644,0.5506 ± 0.0354,0.3881 ± 0.0274,https://github.com/linshaolong11/CAMF.git
86,haleemiliyash,0.2898 ± 0.0099,0.9033 ± 0.0330,0.1559 ± 0.0526,0.4728 ± 0.0373,0.3278 ± 0.0274,https://docs.google.com/document/d/1QKNw_Ev6EVsh2faLWFhflS22xxFrdWwcPvSdwYRMBJ0/edit?usp=sharing
87,Discoverybytes,0.2908 ± 0.0095,0.9067 ± 0.0367,0.1859 ± 0.0580,0.5439 ± 0.0364,0.3851 ± 0.0281,https://docs.google.com/document/d/1fNlOGOvF_lrqWz8-MY3oNyXKUSy5_wWmZeukAEUUFf0/edit?usp=drive_link
88,Harshit494,0.2926 ± 0.0103,0.9122 ± 0.0403,0.1426 ± 0.0669,0.5620 ± 0.0351,0.4000 ± 0.0276,https://github.com/research-al/admet-challenge
89,ellieberry,0.2929 ± 0.0106,0.9131 ± 0.0413,0.1332 ± 0.0684,0.5697 ± 0.0346,0.4065 ± 0.0271,https://github.com/etiu/Openadmet_competition_v2
90,rymsnyde,0.2929 ± 0.0114,0.9134 ± 0.0466,0.0635 ± 0.0844,0.5538 ± 0.0354,0.3970 ± 0.0283,https://github.com/rymsnyde/LMC-MO-GPR_for_ADMET
91,vibeADMET,0.2938 ± 0.0107,0.9160 ± 0.0442,0.1202 ± 0.0741,0.5826 ± 0.0333,0.4153 ± 0.0264,https://docs.google.com/document/d/e/2PACX-1vT8yCpYslYvCvcrZuZElChg6XVSx6HH1U4wZ0sLlHy6828LwVCBXSU4FTpwYvL8hDr7ReomL5q_PPki/pub
92,eachanjohnson,0.3037 ± 0.0095,0.9469 ± 0.0395,0.1175 ± 0.0634,0.5644 ± 0.0325,0.3976 ± 0.0257,https://github.com/eachanjohnson/challenge-2601-openadmet
93,SystemsCBLab,0.3093 ± 0.0097,0.9641 ± 0.0386,0.1124 ± 0.0589,0.5420 ± 0.0372,0.3857 ± 0.0292,https://github.com/apalania/OpenADMET-ExpansionRx-Challenge/blob/main/MethodologyReport_v2.pdf
94,mkruege,0.3095 ± 0.0114,0.9652 ± 0.0507,0.0050 ± 0.0929,0.5952 ± 0.0316,0.4206 ± 0.0256,https://doi.org/10.17617/3.GIKHJL
95,wleco22,0.3162 ± 0.0112,0.9858 ± 0.0444,-0.0296 ± 0.0831,0.5560 ± 0.0371,0.4057 ± 0.0288,https://docs.google.com/document/d/1wxbX96aE9hxgvmUqbeLkxdDe4sRU1DcBXKB08eLo8G0/edit?usp=sharing
96,latticetower,0.3258 ± 0.0123,1.0156 ± 0.0412,-0.1366 ± 0.1011,0.3798 ± 0.0449,0.2636 ± 0.0326,https://github.com/latticetower/chemney
97,sudhir2016,0.3265 ± 0.0120,1.0181 ± 0.0482,-0.0871 ± 0.0940,0.5416 ± 0.0349,0.3771 ± 0.0267,https://gist.github.com/sudhir2016/e6a488fe6a856dfc3d8b6734b612a6a5
98,Srajall,0.3439 ± 0.0108,1.0725 ± 0.0491,-0.1276 ± 0.0849,0.5645 ± 0.0349,0.3963 ± 0.0273,https://github.com/srajalcodes/ADMET-Challenge-Report-Methodology/blob/main/README.md
99,XeonChem,0.3453 ± 0.0132,1.0767 ± 0.0552,-0.2704 ± 0.1110,0.4707 ± 0.0393,0.3281 ± 0.0297,https://docs.google.com/document/d/1-N0GW_6HnSx4rYVoyKCGjGUWxcBXyxwWsmi38lueZck/edit?usp=sharing
100,redjay,0.4238 ± 0.0116,1.3212 ± 0.0457,-0.6217 ± 0.0894,-0.2173 ± 0.0436,-0.1477 ± 0.0295,https://docs.google.com/document/d/1QHhGtEriIm0jGCY5NdTxCxkS6xkUMPakCwgePgGcCj8/edit?tab=t.0
101,boltzmann_xgb,0.6613 ± 0.0149,2.0625 ± 0.0931,-2.5598 ± 0.2458,0.5412 ± 0.0352,0.3817 ± 0.0273,https://docs.google.com/document/d/1RFuSB9CzAwwysvgjP2Bo0RXWbIUZsKF-/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
102,little-WM-atw-2,0.9620 ± 0.0184,2.9993 ± 0.0983,-6.0989 ± 0.3392,-0.0666 ± 0.0444,-0.0397 ± 0.0287,https://github.com/azminewasi/OpenADMET_ExpansionRx
103,Sean-Wong,1.0445 ± 0.0169,3.2579 ± 0.1384,-7.0351 ± 0.5428,0.7079 ± 0.0258,0.5197 ± 0.0228,https://github.com/Wang-Lin-boop/Ouroboros
