final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
85,rymsnyde,0.5276 ± 0.0099,0.6498 ± 0.0136,0.5329 ± 0.0218,0.7466 ± 0.0114,0.5803 ± 0.0105,https://github.com/rymsnyde/LMC-MO-GPR_for_ADMET
86,Harshit494,0.5304 ± 0.0098,0.6531 ± 0.0108,0.5352 ± 0.0183,0.7316 ± 0.0120,0.5563 ± 0.0107,https://github.com/research-al/admet-challenge
87,eachanjohnson,0.5425 ± 0.0098,0.6680 ± 0.0133,0.5173 ± 0.0206,0.7258 ± 0.0116,0.5469 ± 0.0102,https://github.com/eachanjohnson/challenge-2601-openadmet
88,vibeADMET,0.5482 ± 0.0106,0.6750 ± 0.0145,0.4871 ± 0.0229,0.7053 ± 0.0131,0.5343 ± 0.0114,https://docs.google.com/document/d/e/2PACX-1vT8yCpYslYvCvcrZuZElChg6XVSx6HH1U4wZ0sLlHy6828LwVCBXSU4FTpwYvL8hDr7ReomL5q_PPki/pub
89,femisegvn,0.5514 ± 0.0103,0.6791 ± 0.0127,0.4855 ± 0.0211,0.7039 ± 0.0124,0.5283 ± 0.0108,https://github.com/femisegvn/ExpansionRx-OpenADMET-blind-challenge
90,Kandagalla,0.5559 ± 0.0106,0.6846 ± 0.0133,0.4575 ± 0.0252,0.7160 ± 0.0134,0.5458 ± 0.0113,https://drive.google.com/file/d/1uJbizC6W-chHjzeq7uaQw42Cv91IsEAk/view?usp=sharing
91,latticetower,0.5577 ± 0.0098,0.6868 ± 0.0139,0.5170 ± 0.0186,0.7137 ± 0.0117,0.5329 ± 0.0103,https://github.com/latticetower/chemney
92,AIDDLin,0.5753 ± 0.0101,0.7085 ± 0.0154,0.4713 ± 0.0218,0.7002 ± 0.0126,0.5227 ± 0.0110,https://github.com/linshaolong11/CAMF.git
93,haleemiliyash,0.6010 ± 0.0114,0.7401 ± 0.0158,0.3836 ± 0.0256,0.6720 ± 0.0141,0.5039 ± 0.0120,https://docs.google.com/document/d/1QKNw_Ev6EVsh2faLWFhflS22xxFrdWwcPvSdwYRMBJ0/edit?usp=sharing
94,Discoverybytes,0.6032 ± 0.0105,0.7427 ± 0.0117,0.4135 ± 0.0193,0.6457 ± 0.0135,0.4732 ± 0.0110,https://docs.google.com/document/d/1fNlOGOvF_lrqWz8-MY3oNyXKUSy5_wWmZeukAEUUFf0/edit?usp=drive_link
95,metro_mehed,0.6187 ± 0.0103,0.7619 ± 0.0143,0.4119 ± 0.0199,0.6346 ± 0.0140,0.4637 ± 0.0115,https://docs.google.com/document/d/1xseb0nWU162fvvG8jFDoEKX_nx4qEflHMrNmDNSn2Oo/edit?usp=drive_link
96,massazahdeh,0.6277 ± 0.0817,0.7732 ± 0.1016,-13.8152 ± 6.7408,0.8210 ± 0.0098,0.6517 ± 0.0094,https://huggingface.co/spaces/openadmet/OpenADMET-ExpansionRx-Challenge
97,mtqspr_pcamor,0.6397 ± 0.0134,0.7878 ± 0.0192,0.2684 ± 0.0437,0.7547 ± 0.0132,0.5900 ± 0.0115,https://docs.google.com/document/d/1knr4cDWE-Tn0ZmcTqSCfADTN2d6BIQqsnfaN6URv9Nk/edit?usp=sharing
98,sudhir2016,0.6784 ± 0.0114,0.8355 ± 0.0177,0.2914 ± 0.0275,0.6193 ± 0.0138,0.4506 ± 0.0112,https://gist.github.com/sudhir2016/e6a488fe6a856dfc3d8b6734b612a6a5
99,redjay,0.8263 ± 0.0140,1.0174 ± 0.0047,-0.0402 ± 0.0085,0.1921 ± 0.0213,0.1305 ± 0.0146,https://docs.google.com/document/d/1QHhGtEriIm0jGCY5NdTxCxkS6xkUMPakCwgePgGcCj8/edit?tab=t.0
100,little-WM-atw-2,0.9045 ± 0.0145,1.1137 ± 0.0144,-0.1913 ± 0.0270,0.1237 ± 0.0209,0.0843 ± 0.0142,https://github.com/azminewasi/OpenADMET_ExpansionRx
101,Sean-Wong,1.6261 ± 0.0168,2.0027 ± 0.0396,-2.0990 ± 0.1011,0.8341 ± 0.0088,0.6658 ± 0.0088,https://github.com/Wang-Lin-boop/Ouroboros
102,boltzmann_xgb,2.0316 ± 0.0149,2.5022 ± 0.0480,-3.3157 ± 0.1459,0.6983 ± 0.0131,0.5249 ± 0.0111,https://docs.google.com/document/d/1RFuSB9CzAwwysvgjP2Bo0RXWbIUZsKF-/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
103,Srajall,2.1396 ± 0.0197,2.6351 ± 0.0529,-4.1171 ± 0.1717,0.1397 ± 0.0200,0.1018 ± 0.0145,https://github.com/srajalcodes/ADMET-Challenge-Report-Methodology/blob/main/README.md
